loan_amount,annual_income,total_balance,total_credit_limit,total_monthly_debt,monthly_income,age,past_delinquencies,default
7568,58854,32315,35344,1465,4904.5,64,1,0
7027,36256,2299,13748,3817,3021.3333333333335,47,1,1
7695,106256,5994,49486,1238,8854.666666666666,55,2,1
10258,63937,30878,11093,1629,5328.083333333333,46,1,1
27002,31651,16627,25228,3764,2637.5833333333335,59,1,1
38159,80288,8489,30884,1839,6690.666666666667,38,3,1
18986,114730,27111,35183,801,9560.833333333334,53,2,1
17666,55051,33355,26034,3095,4587.583333333333,45,1,1
8561,57386,9269,15710,2477,4782.166666666667,51,4,1
31854,105054,3831,29259,3263,8754.5,57,1,0
27662,46184,12819,45959,3326,3848.6666666666665,22,1,1
13392,63787,25813,43457,2815,5315.583333333333,53,1,1
35535,51621,22637,30143,3741,4301.75,59,0,1
18067,105564,2996,12103,3557,8797.0,63,1,0
28599,107984,4089,10365,1050,8998.666666666666,63,0,1
16837,89792,34291,26103,1978,7482.666666666667,52,1,1
19039,75253,21659,42510,1815,6271.083333333333,38,1,1
35818,64051,31429,34476,2087,5337.583333333333,37,3,1
24115,79811,16732,22742,2322,6650.916666666667,54,2,1
15965,60447,20506,22391,2324,5037.25,59,0,0
29538,113930,6190,46940,1664,9494.166666666666,27,1,0
10056,60254,5575,38901,3717,5021.166666666667,62,2,0
37482,114045,35565,42001,3996,9503.75,55,2,0
13110,87418,35899,25623,813,7284.833333333333,50,6,1
18773,44472,24706,12378,683,3706.0,32,1,1
32266,33471,23884,31372,2187,2789.25,55,2,1
22412,38329,18199,48437,1212,3194.0833333333335,31,4,1
38270,64865,13479,45503,2675,5405.416666666667,64,0,0
11910,76850,35178,40746,1810,6404.166666666667,24,0,0
30446,84220,13665,37923,3824,7018.333333333333,45,1,0
5206,36397,1534,19867,3247,3033.0833333333335,52,3,0
26518,65525,27292,43724,2933,5460.416666666667,40,0,1
27361,83072,37132,19306,3801,6922.666666666667,51,0,1
28419,113820,37110,49391,770,9485.0,24,1,1
27403,114530,23469,24908,2294,9544.166666666666,58,0,1
23141,53284,38268,37081,1310,4440.333333333333,21,1,1
19820,91330,2172,47228,2962,7610.833333333333,23,2,0
11374,113369,28914,33386,697,9447.416666666666,57,2,1
6678,55122,21901,38302,3894,4593.5,42,2,1
38827,100553,35409,29212,1579,8379.416666666666,37,2,1
21198,111906,20324,45618,3378,9325.5,34,0,0
14914,92812,9738,20698,1726,7734.333333333333,61,1,0
32890,37999,38494,14594,2144,3166.5833333333335,55,0,1
27299,52436,25054,35525,1127,4369.666666666667,33,2,1
7693,72963,30709,24282,1103,6080.25,55,2,1
34467,32096,21107,24334,1661,2674.6666666666665,63,2,1
34723,55279,1363,39179,1945,4606.583333333333,22,1,1
8627,56201,11358,16644,1580,4683.416666666667,33,3,1
30939,49715,37077,45618,2085,4142.916666666667,36,2,1
26834,59309,4240,42933,3557,4942.416666666667,38,2,0
23047,45078,7665,43687,2618,3756.5,27,3,1
31105,86614,2936,27375,1410,7217.833333333333,56,2,0
15230,35105,26538,40926,1093,2925.4166666666665,61,0,0
20707,32839,12998,46607,1895,2736.5833333333335,50,1,1
26976,98920,1882,27642,1099,8243.333333333334,62,1,0
28776,73619,21224,33993,1013,6134.916666666667,61,1,0
35080,72821,31825,31188,2395,6068.416666666667,27,0,1
6306,43493,6204,42596,2631,3624.4166666666665,35,0,0
11776,47069,29885,37772,3541,3922.4166666666665,60,0,0
32251,37531,4203,40857,1566,3127.5833333333335,39,2,0
14474,67051,3244,20776,3386,5587.583333333333,63,5,1
26959,37736,33786,42835,2457,3144.6666666666665,57,2,1
10530,37710,4083,19788,3153,3142.5,22,1,1
34320,97155,22584,15660,1309,8096.25,62,2,1
8748,43975,9521,14478,2680,3664.5833333333335,33,1,1
36968,92424,34541,18210,3966,7702.0,60,3,1
37562,75603,30063,20922,1588,6300.25,61,0,1
18545,53252,5732,46289,789,4437.666666666667,63,0,0
5663,110797,28518,43340,2923,9233.083333333334,63,0,0
39766,31431,30697,49850,1268,2619.25,51,1,0
12994,104603,3567,48163,3014,8716.916666666666,36,2,0
33021,67481,17121,28642,3784,5623.416666666667,62,0,0
35303,39557,2674,21094,3719,3296.4166666666665,64,1,1
8304,104971,11875,32423,970,8747.583333333334,26,0,0
22675,30162,1739,43418,2696,2513.5,48,0,1
28938,64742,2545,15741,587,5395.166666666667,52,2,0
28664,49675,30140,16838,3895,4139.583333333333,64,1,1
6636,103997,10327,13262,2943,8666.416666666666,30,2,0
25080,47015,6127,14996,1289,3917.9166666666665,38,2,0
32728,80057,24331,32164,3975,6671.416666666667,24,1,1
31736,62591,24004,45595,3653,5215.916666666667,29,1,1
33673,39833,11492,40257,2164,3319.4166666666665,27,1,1
5854,37896,14749,24211,1809,3158.0,28,1,1
29548,62972,24508,40453,3953,5247.666666666667,63,0,1
12392,79733,10045,15232,1364,6644.416666666667,27,3,1
26556,71800,21116,12217,1793,5983.333333333333,61,0,1
31309,35347,19667,34229,3863,2945.5833333333335,60,2,1
26919,89063,10521,24232,523,7421.916666666667,23,1,0
9931,32643,9669,35613,3503,2720.25,37,5,1
37970,70785,28302,24026,2386,5898.75,22,1,1
17688,48681,12283,38554,810,4056.75,35,2,1
30342,80026,31935,40908,1984,6668.833333333333,49,1,1
7327,45892,7998,29610,1731,3824.3333333333335,42,1,1
5197,77299,29806,49605,3211,6441.583333333333,24,1,0
28509,47073,32624,17031,2985,3922.75,26,1,1
39698,60682,14440,35515,1205,5056.833333333333,58,1,0
20087,44289,22797,46484,1859,3690.75,46,0,0
27671,37927,2269,46182,921,3160.5833333333335,31,1,1
30184,78330,8868,10570,2273,6527.5,46,1,1
32848,96707,31251,42254,2868,8058.916666666667,37,2,1
25666,107454,13373,29288,3134,8954.5,44,0,1
20708,95428,19987,23288,1446,7952.333333333333,48,2,0
31370,80601,39729,39877,1686,6716.75,55,2,0
7811,107465,16734,28889,2334,8955.416666666666,51,1,1
11546,32539,19064,10917,2064,2711.5833333333335,33,1,1
39754,52669,9433,20066,3736,4389.083333333333,55,3,1
35206,100968,10111,39504,1348,8414.0,36,3,1
16411,50644,39450,16982,2089,4220.333333333333,35,1,1
7911,48745,16047,49104,1818,4062.0833333333335,63,2,1
6734,58228,9084,28062,2589,4852.333333333333,38,0,1
23227,64521,22751,26999,2447,5376.75,57,3,0
13680,56928,17453,19941,1808,4744.0,61,1,0
24360,48322,21308,33470,3486,4026.8333333333335,47,2,1
23343,87714,39968,31133,886,7309.5,55,0,1
10759,117896,31077,14529,2535,9824.666666666666,55,1,1
28078,92292,35775,27519,1661,7691.0,48,1,1
16111,59055,25503,22192,3758,4921.25,59,2,1
6802,72891,3779,18566,2525,6074.25,58,1,0
13155,111912,22304,17226,3457,9326.0,29,1,0
13120,36588,1755,47930,1215,3049.0,32,3,1
26918,36304,18400,31259,2978,3025.3333333333335,35,2,1
25445,37345,15249,44087,3101,3112.0833333333335,41,1,1
35306,59300,25600,11141,3987,4941.666666666667,55,3,1
21646,54259,38706,14627,3347,4521.583333333333,62,2,1
36065,118553,20222,12690,925,9879.416666666666,53,0,1
30199,45352,34505,13255,1939,3779.3333333333335,39,0,1
21371,63365,39968,15213,2573,5280.416666666667,43,1,1
16835,49446,30148,46876,3942,4120.5,33,1,1
7049,32336,23302,29404,884,2694.6666666666665,64,1,1
36616,92032,3623,35380,555,7669.333333333333,21,1,0
25932,105415,9646,35520,3824,8784.583333333334,49,1,1
34855,37521,14543,29173,3181,3126.75,44,1,1
12158,101707,29960,33989,605,8475.583333333334,36,3,0
12400,53481,23785,34519,3701,4456.75,45,1,1
20151,48474,13817,32439,3396,4039.5,43,2,1
6154,76760,32406,21413,1169,6396.666666666667,48,0,1
9499,85718,24456,24995,875,7143.166666666667,36,0,0
11295,74629,24777,33559,1242,6219.083333333333,63,0,1
17183,75232,21914,33513,1466,6269.333333333333,58,3,1
34299,116544,30553,15021,807,9712.0,31,2,1
17874,97169,24548,42464,2638,8097.416666666667,23,1,0
37711,80669,38265,31119,3964,6722.416666666667,35,0,1
10539,108021,7727,39299,1301,9001.75,21,0,0
7557,99184,33427,49350,609,8265.333333333334,27,2,0
21482,77945,17692,35517,2164,6495.416666666667,21,2,0
7200,43140,32625,23117,3132,3595.0,52,0,1
7961,113457,25918,32250,839,9454.75,29,2,1
26357,44357,16577,28950,2088,3696.4166666666665,49,2,1
16969,98673,20619,27359,1478,8222.75,46,1,1
7869,95633,34710,33596,2903,7969.416666666667,43,1,1
33643,106943,38388,35530,2415,8911.916666666666,63,2,1
29736,108258,17195,11262,667,9021.5,49,3,1
28328,42924,28689,32615,1056,3577.0,58,3,0
30876,99286,12154,13327,1404,8273.833333333334,53,2,1
26295,104071,30412,39768,604,8672.583333333334,27,2,0
8987,87326,22341,38850,2547,7277.166666666667,32,2,0
27399,60651,33018,26848,2697,5054.25,51,2,1
38986,100202,10145,49542,645,8350.166666666666,52,4,0
25880,78777,23223,25160,3263,6564.75,40,0,1
9735,46994,3880,43998,1373,3916.1666666666665,37,1,1
9555,97263,22271,37230,798,8105.25,56,1,1
24830,89634,34313,19076,3738,7469.5,23,0,1
22429,40800,14304,13805,2236,3400.0,21,1,1
11893,67823,35695,41085,1145,5651.916666666667,47,3,1
19373,93878,31225,24715,3270,7823.166666666667,60,2,0
8436,48708,21536,15750,3619,4059.0,53,0,1
13754,42819,31831,23232,1137,3568.25,40,3,1
15677,104905,12673,45903,2786,8742.083333333334,34,3,1
10895,93870,22917,16953,3578,7822.5,56,1,0
24738,39283,28829,42093,3011,3273.5833333333335,25,4,1
35746,60573,16372,35500,3000,5047.75,43,1,0
37352,108707,26938,32418,1283,9058.916666666666,35,3,1
10600,60933,3663,44314,1396,5077.75,26,2,0
34124,35774,10465,32449,870,2981.1666666666665,53,3,1
32643,102055,4326,27478,986,8504.583333333334,39,1,0
14007,40983,4659,45179,3782,3415.25,33,1,1
13208,48133,28594,35338,2537,4011.0833333333335,49,0,1
23589,44939,5763,36899,2712,3744.9166666666665,26,1,0
22453,30781,24121,14145,3696,2565.0833333333335,35,4,1
37635,86700,11828,42101,1860,7225.0,36,1,0
38828,57624,12221,12775,691,4802.0,44,2,0
23711,36823,12211,41647,1229,3068.5833333333335,43,2,1
8420,48489,14569,29539,2761,4040.75,30,1,1
36216,69961,32358,46738,3121,5830.083333333333,61,3,0
5301,59118,38860,36616,3899,4926.5,61,1,0
5699,111816,7022,24119,1456,9318.0,37,0,0
5190,52263,14515,35159,880,4355.25,64,5,1
15492,43565,7159,47099,3220,3630.4166666666665,50,1,0
11102,50354,22691,20295,1297,4196.166666666667,64,1,1
24778,72951,25904,44710,738,6079.25,30,1,0
31641,53648,4044,34685,3247,4470.666666666667,39,1,1
39584,80729,10612,35479,1605,6727.416666666667,49,1,0
37745,71971,6636,43629,1886,5997.583333333333,22,0,1
28093,48658,12593,27033,3052,4054.8333333333335,56,2,1
5569,51253,3892,46902,2749,4271.083333333333,39,2,1
39663,94166,22672,25408,3467,7847.166666666667,27,1,0
12455,78563,6812,27420,2027,6546.916666666667,46,3,0
9014,56390,32085,26351,2167,4699.166666666667,35,1,1
16093,118664,1654,14131,536,9888.666666666666,58,0,1
23070,81578,18143,21349,3191,6798.166666666667,23,3,1
21538,109025,2798,48225,2496,9085.416666666666,58,3,0
15729,62658,38927,48847,1925,5221.5,36,0,0
39177,36852,30087,22453,3312,3071.0,22,1,1
5784,32551,12618,28814,3253,2712.5833333333335,51,2,1
32751,101947,9446,28263,3747,8495.583333333334,48,1,1
17533,91001,22646,22158,3092,7583.416666666667,27,0,0
10801,79159,37591,25735,1990,6596.583333333333,50,0,1
24190,81707,28200,25830,1724,6808.916666666667,63,2,0
34592,63243,30571,33926,3087,5270.25,27,3,1
15647,51800,23538,44779,3564,4316.666666666667,56,0,1
13716,105939,21900,13373,2522,8828.25,49,0,0
28355,87828,23356,20335,2941,7319.0,44,1,0
27009,37239,24023,33741,1332,3103.25,59,3,1
29376,36710,18392,20692,3613,3059.1666666666665,24,0,1
9780,51384,21698,44057,1096,4282.0,49,5,1
7368,51038,27535,11447,2940,4253.166666666667,64,1,1
17039,70846,36450,29583,1199,5903.833333333333,25,1,1
11655,117983,34757,32765,2146,9831.916666666666,49,3,1
9495,97821,13476,33906,2518,8151.75,50,1,0
15893,67991,5711,29567,940,5665.916666666667,49,0,0
30547,109057,7479,24139,2360,9088.083333333334,46,1,0
27386,36971,32390,48230,2140,3080.9166666666665,39,1,1
18403,59139,14161,29520,2029,4928.25,46,1,1
37097,115445,33152,29702,3465,9620.416666666666,57,2,1
18121,107067,15635,35566,2867,8922.25,47,1,1
15966,110257,31297,17657,3100,9188.083333333334,50,0,1
38621,114742,21836,47688,3786,9561.833333333334,50,2,1
33312,67711,25831,40134,1594,5642.583333333333,23,1,1
27677,36530,2007,20345,1067,3044.1666666666665,63,2,0
36289,41116,27331,37413,3466,3426.3333333333335,27,2,1
36024,95794,11763,15208,735,7982.833333333333,29,1,0
9777,30282,4908,43455,1804,2523.5,61,1,0
34749,109473,28573,38018,3534,9122.75,62,0,1
20338,31898,20187,18080,1685,2658.1666666666665,33,2,1
7491,34135,12957,31902,3762,2844.5833333333335,35,1,1
32236,36629,5379,19486,1532,3052.4166666666665,25,4,0
19599,115120,28959,48862,2607,9593.333333333334,49,1,0
24508,119087,17482,31158,3440,9923.916666666666,55,3,1
8051,95031,28105,45871,2340,7919.25,47,1,0
26606,63380,1877,45208,724,5281.666666666667,47,2,0
26699,47071,19252,30519,2342,3922.5833333333335,28,2,0
5876,50074,32334,41379,3247,4172.833333333333,52,4,1
37093,97843,20049,38378,1081,8153.583333333333,40,1,1
9142,69901,18772,49892,3858,5825.083333333333,30,0,1
20202,41205,3637,24031,3541,3433.75,33,3,0
12079,85661,8242,24536,668,7138.416666666667,49,6,0
12987,35906,36651,10446,3633,2992.1666666666665,55,1,1
33940,32591,34972,46683,3920,2715.9166666666665,28,0,1
22019,92987,17928,27618,1965,7748.916666666667,49,1,0
23077,93370,29742,16587,513,7780.833333333333,51,1,1
31258,110685,12831,41480,2711,9223.75,61,0,0
26136,84400,20556,42994,1943,7033.333333333333,50,1,0
13311,55150,26343,30527,3304,4595.833333333333,42,1,0
22214,61852,23834,33569,2370,5154.333333333333,41,4,1
19098,72870,34422,21151,2043,6072.5,32,4,1
33251,82756,24205,15558,2189,6896.333333333333,31,2,0
30945,86481,19830,42954,2071,7206.75,22,0,1
30316,31283,9412,45303,1551,2606.9166666666665,61,1,1
37217,63691,4666,44700,2231,5307.583333333333,22,1,0
13308,31125,38045,37500,945,2593.75,54,2,1
10949,97065,21786,12032,3779,8088.75,23,0,1
6150,56170,6515,11252,1215,4680.833333333333,36,5,1
28944,38438,27627,15509,3523,3203.1666666666665,24,2,1
39699,50095,16198,47842,1318,4174.583333333333,43,2,1
14204,46154,4985,23900,2651,3846.1666666666665,40,1,0
6081,38004,30475,24523,3289,3167.0,45,1,0
34305,39752,20403,11881,925,3312.6666666666665,50,0,1
21896,85426,4681,43037,1624,7118.833333333333,38,3,0
12805,56819,27019,11630,2064,4734.916666666667,62,4,1
10237,54217,28586,30789,3186,4518.083333333333,31,2,1
25056,118708,38521,32523,1349,9892.333333333334,49,1,1
8343,62994,37770,27958,2045,5249.5,37,3,1
18500,45036,6629,11695,1629,3753.0,46,1,0
34375,107275,28710,24821,2202,8939.583333333334,43,2,1
14662,79416,31328,13262,2501,6618.0,40,1,1
21964,39587,13278,11445,3316,3298.9166666666665,22,0,1
13130,30645,9417,26436,776,2553.75,44,0,0
24531,60930,35765,19949,3636,5077.5,51,3,1
6679,111835,9963,33963,2306,9319.583333333334,47,2,0
8506,60090,38292,39932,3447,5007.5,22,0,1
18284,117489,26009,16901,2735,9790.75,34,3,1
12253,82142,28675,43487,3888,6845.166666666667,24,1,1
24128,56475,37175,18597,2439,4706.25,33,1,1
32932,48888,7731,16855,3709,4074.0,56,1,1
14435,73732,12332,28678,3914,6144.333333333333,55,1,1
18296,111623,20177,18263,2652,9301.916666666666,64,2,1
35445,76305,24718,35805,1045,6358.75,28,0,1
18245,76037,3911,36143,2927,6336.416666666667,22,0,1
34124,39346,19799,21874,609,3278.8333333333335,26,1,1
34899,30587,16194,37529,1044,2548.9166666666665,51,1,1
34222,42763,5951,30866,2901,3563.5833333333335,30,1,1
31211,89165,29333,24079,1242,7430.416666666667,64,1,1
31646,99615,22673,17243,2864,8301.25,41,3,1
28049,66116,6565,39872,1789,5509.666666666667,62,2,0
19069,115751,23821,19018,2375,9645.916666666666,30,2,1
37580,55556,26494,22100,1588,4629.666666666667,43,0,1
36843,89042,34941,29800,832,7420.166666666667,23,0,1
7849,48099,9624,36910,2036,4008.25,52,2,1
28289,75096,1835,39437,1656,6258.0,40,0,0
14823,101986,19646,47588,1091,8498.833333333334,30,2,0
14540,43230,12824,21001,1282,3602.5,49,3,0
21364,59009,38335,29942,1039,4917.416666666667,61,3,0
9611,100969,4815,30862,3282,8414.083333333334,54,1,1
32663,63866,3429,21669,2058,5322.166666666667,57,2,0
35977,114246,3607,25916,2019,9520.5,40,1,0
34168,106975,26650,20878,3168,8914.583333333334,28,3,0
30471,71855,39698,12985,1118,5987.916666666667,27,2,1
27687,111557,33353,42369,3940,9296.416666666666,26,1,0
5851,36416,37790,18112,3456,3034.6666666666665,31,2,1
23071,102516,12991,28931,2333,8543.0,64,0,0
11833,85915,22168,37340,1491,7159.583333333333,38,1,1
16938,48058,32099,10336,2646,4004.8333333333335,62,0,1
31144,106637,36919,29363,2864,8886.416666666666,49,0,1
9000,70718,32416,13968,2670,5893.166666666667,45,2,1
10052,62602,6580,43678,3891,5216.833333333333,41,3,1
33074,104658,8054,26279,3346,8721.5,23,2,0
37320,108112,25090,13129,2116,9009.333333333334,38,2,1
8913,88067,16823,48215,2018,7338.916666666667,44,0,0
22450,57516,38341,48897,3004,4793.0,58,1,0
29107,117969,16339,15850,1021,9830.75,30,0,1
25764,31089,4491,30588,3067,2590.75,47,1,0
25491,67346,1706,21949,1416,5612.166666666667,32,3,0
8373,104663,32957,18519,1216,8721.916666666666,27,1,1
17161,40487,16728,36375,2862,3373.9166666666665,37,0,1
36996,30155,7997,43082,3256,2512.9166666666665,21,1,1
32122,97494,39001,21737,3257,8124.5,46,0,0
39850,106229,39523,11134,2436,8852.416666666666,35,0,1
32350,68547,26163,20938,3591,5712.25,53,1,1
32472,58795,18718,34486,1059,4899.583333333333,57,0,0
33761,85296,22972,36096,1468,7108.0,51,2,0
30351,51447,19231,15592,3701,4287.25,55,0,0
28132,66598,13126,28108,3864,5549.833333333333,21,4,0
20305,71814,24595,27270,3703,5984.5,28,1,1
14817,105330,13118,37649,2903,8777.5,32,3,1
16261,117960,4317,20997,1577,9830.0,39,0,0
5417,93278,16504,43489,1389,7773.166666666667,45,3,0
25358,85077,4057,19104,1292,7089.75,52,1,0
8267,101906,27660,10870,3958,8492.166666666666,32,2,1
22209,39528,38196,38684,2812,3294.0,33,3,1
29052,80100,1402,49519,1481,6675.0,48,2,1
31092,38179,9605,44524,3786,3181.5833333333335,21,0,1
16338,78781,16761,40957,1301,6565.083333333333,26,1,0
5412,85267,28043,43885,542,7105.583333333333,28,2,0
12543,112379,34635,45596,2109,9364.916666666666,24,2,0
38496,53952,14779,39866,3409,4496.0,25,1,1
28548,83798,16155,40676,3849,6983.166666666667,45,0,1
32384,80939,34132,23878,2277,6744.916666666667,42,2,1
23888,59516,24851,49760,3701,4959.666666666667,48,3,1
22506,86526,16366,37559,849,7210.5,59,5,1
25463,40449,29408,16771,2067,3370.75,43,1,1
22955,80290,7571,26526,1629,6690.833333333333,24,1,0
10104,116661,15017,39896,3459,9721.75,24,1,0
39911,102954,5150,41923,2548,8579.5,41,1,1
28190,52746,20423,46203,2280,4395.5,57,4,1
12357,97990,5137,49390,1083,8165.833333333333,61,1,1
37479,88810,30992,22852,931,7400.833333333333,22,3,1
25150,113297,29902,11848,3877,9441.416666666666,27,0,1
10644,45223,14833,41027,2432,3768.5833333333335,36,1,0
7914,102237,2381,45464,2600,8519.75,37,1,0
26352,32597,9154,44485,3487,2716.4166666666665,40,1,1
19397,95677,35235,29456,3067,7973.083333333333,43,1,1
5728,32659,14439,19259,3901,2721.5833333333335,54,3,1
5698,116516,20122,45554,1848,9709.666666666666,31,0,0
18923,104567,24956,23409,3685,8713.916666666666,54,3,1
21779,45037,18264,13791,2694,3753.0833333333335,53,2,1
12400,76738,4149,35864,2530,6394.833333333333,46,1,1
29466,101678,25660,46639,1689,8473.166666666666,22,3,1
9360,42109,21528,44574,3950,3509.0833333333335,43,1,1
22101,52010,2168,27888,1662,4334.166666666667,61,2,1
37307,38787,36897,29692,3176,3232.25,42,1,1
10486,38472,16032,33501,798,3206.0,54,0,0
13335,53383,36294,23304,3847,4448.583333333333,35,1,1
26364,91709,4516,37527,2439,7642.416666666667,30,1,0
28576,99785,20751,28074,1288,8315.416666666666,35,0,1
36667,64518,31373,25549,1349,5376.5,62,1,1
16130,83909,31270,39963,2725,6992.416666666667,49,1,0
26972,48351,11386,35920,3389,4029.25,43,3,1
6167,99624,37323,40826,1877,8302.0,37,1,0
32192,83330,15157,46071,1677,6944.166666666667,29,1,1
6062,45282,38879,26061,2449,3773.5,56,1,1
23540,114866,4626,38810,3772,9572.166666666666,29,1,1
29244,51778,21400,32800,1377,4314.833333333333,36,1,1
26545,54264,37643,19940,1638,4522.0,56,3,1
26689,89675,39265,13924,2077,7472.916666666667,53,3,1
16174,35075,16979,38054,3306,2922.9166666666665,51,1,1
27925,105948,12529,19783,3639,8829.0,26,2,1
14348,78454,17645,47253,2992,6537.833333333333,30,2,1
28714,58365,27424,23233,3897,4863.75,36,5,1
13924,102766,14382,34484,3255,8563.833333333334,24,2,0
29394,78200,5025,35068,3149,6516.666666666667,42,2,1
11801,41002,14844,10191,2146,3416.8333333333335,33,2,1
11731,43947,5175,35074,2403,3662.25,36,2,0
28625,109222,31519,14917,1882,9101.833333333334,49,4,1
22337,108610,10174,48599,644,9050.833333333334,26,1,1
12056,82142,4443,35832,2822,6845.166666666667,46,1,1
16516,86307,22395,30706,3056,7192.25,31,0,0
6542,34493,11725,23682,1702,2874.4166666666665,44,6,1
26677,80085,34461,36762,3300,6673.75,49,0,1
32569,64228,32351,33383,2361,5352.333333333333,23,3,1
28322,109676,19196,37796,2354,9139.666666666666,30,1,0
24065,81875,15254,33666,3024,6822.916666666667,21,1,1
22924,61655,15021,35662,2366,5137.916666666667,63,0,1
27556,73472,6724,44642,3985,6122.666666666667,46,1,1
31962,79437,29690,47531,3724,6619.75,32,1,1
33295,79416,2407,20234,3675,6618.0,34,1,0
18807,89711,9032,19221,1598,7475.916666666667,45,2,1
31432,36816,18794,21410,1651,3068.0,28,3,1
22749,107175,20881,24519,2234,8931.25,63,0,0
31256,94307,21756,11051,3213,7858.916666666667,24,2,1
6324,76733,30416,19765,1067,6394.416666666667,48,2,1
30731,41240,26752,21382,2313,3436.6666666666665,27,2,1
28803,101363,13926,22580,3916,8446.916666666666,30,1,0
24870,62762,34765,42323,1030,5230.166666666667,56,1,1
39578,38259,15390,21939,2706,3188.25,22,0,1
11588,80139,39867,39964,2061,6678.25,46,3,1
31790,44849,22939,10307,3997,3737.4166666666665,34,1,1
30289,111768,28307,13359,1180,9314.0,36,1,1
33178,119709,31828,39648,2570,9975.75,63,4,1
33710,84869,29513,45944,1570,7072.416666666667,62,2,0
20485,93095,25502,44019,3072,7757.916666666667,37,6,1
25652,100910,31063,48134,1228,8409.166666666666,42,1,0
9748,116710,23486,37323,2229,9725.833333333334,24,1,1
26233,53567,39258,16226,2691,4463.916666666667,39,2,1
14435,65292,32692,31689,1167,5441.0,22,2,1
8709,104813,39384,40971,2112,8734.416666666666,59,1,0
